Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,506031238.979937,506571467.895978,519306352.78704,556514555.400882,591139749.44287,..
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,23477745791.6977,20888515184.2239,24222963262.7213,28341164301.126,25036993423.3664,25633544529.4849
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,41905642418.825,42491780918.361,47073234359.1819,44929920092.7955,48205328303.3398,51332285656.5422
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,775853144222.613,733628247119.077,839938668172.134,926097476913.818,1141242864657.45,1359123768774.12
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,40810067974.509,41509903181.7231,40589905812.0364,42208726137.7192,45894538665.5538,51387209872.2994
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,1371838000,918387000,1236459000,1434119000,1638653000,1745378000
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,54123198.5662913,51746594.3148543,60196405.7138393,59065982.0873657,62280311.5852172,..
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,35353061003.4359,37600368241.6657,40529788748.6737,45565333210.9108,48768955863.3175,53911907086.1525
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,153883047509.577,156617722013.342,199765859570.935,161989520721.19,181221517868.744,190741262414.705
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,433926208304.969,357161878829.135,422441388699.796,511403403675.97,522622191967.325,552324846834.581
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3686033044482.13
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,21380976119000,21060473613000,23315080560000,25604848907611,27292170793214.4,28750956130731.2
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,62222313618.8454,53559359261.826,60739084240.8633,70594110920.0358,77991666837.7382,80961511073.5797
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,102641879248.764,114965293466.611
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,936526267.622513,909421043.508407,950394006.532514,1055031360.57356,1115861055.72463,1117972034.22642
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,73014084091.3,42838020721.1995,56614976854.5499,89013255584.7499,102376526555.948,119802963257.783
GDP (current US$),NY.GDP.MKTP.CD,Viet Nam,VNM,334365270496.667,346615738537.796,366474752771.009,413445230668.578,433857681378.291,476388230307.175
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,4121000000,4229000000,4507000000,4672000000,..,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,17133500000,15531700000,18109000000,19165500000,17847900000,13711100000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,27577956471.244,25303185342.2511
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,33357695635.1284,31980334561.3123,41287673690.0771,40757561708.7741,35871779680.6335,41539411516.4448
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,1018714795912.35,938607563405.087,1114144799994.21,1228967879390.01,1179359054880.45,1242693542929.85
GDP (current US$),NY.GDP.MKTP.CD,Africa Western and Central,AFW,1026996211935.8,963784699293.976,1026651004045.79,1063649130876.99,938238370514.198,736384961061.523
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,2965285548936.01,2604104981819.8,3085141461685.6,3747416641077.46,3622495663981.78,3735881442514.35
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,62185458482.7062,53320869430.7059,62687149265.4471,78506430710.7309,79534673452.944,90344593407.0487
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,1684318282245.77,1678294256145.3,1926347717339,1954419184114.96,2273205742208.3,2462005273603.48
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,11686574879191.1,10823343545638.3,12695008338487.8,14034689936337.3,14933453330998.3,15808304487948.1
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,27427259967363.2,27578839610232.4,31675719814404.9,31266291368260.6,31417826880875,32017179839273
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,17503274977303.3,17805166443182.2,21231425978691.4,21563881384135.8,21644412635340.6,22260810771875.1
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,17481715455963.4,17783207218899.1,21205187136185.7,21537214774462.6,21617676926854.5,22233362919728.4
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,13589774677631.3,13267554461613.6,14924551716260.4,14488160081806.7,15854782417877,16485444160371
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,23067540030248.6,22322527185686.7,25572901699926.6,25798700454390.6,27732942821913.5,29291828957768.8
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,1508679974755.36,1446077189727.52,1680958734568.53,1820242864725.1,2143244215113.25,2451180144505.47
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,4184533628660.37,3924139091384.84,4637763943320.14,5264484546456.79,5562782514647.52,6131674441421.64
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,15809073096211.4,15504055464107.4,17495226733585.2,17023612496380.4,18659133072074.8,19497115588443.6
GDP (current US$),NY.GDP.MKTP.CD,Fragile and conflict affected situations,FCS,1811454247630.6,1610227321244.27,1740335947472.93,1918272363969.18,1778723185468.2,1652895518697.74
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,811372254522.343,816029422839.446,924417463438.7,1002501492801.3,1060316071770.29,1145111349262.57
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,57456170925405.3,55889737341875.4,62745314846357.3,65081334214971.5,68449582732271.4,71321142708251.1
GDP (current US$),NY.GDP.MKTP.CD,IBRD only,IBD,31377057597389.8,30204027280204.5,35879316080995.1,37943329554311.5,39248258733753.5,40930410371533.4
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,34078219798939.1,32822847991827.3,38741335342414.8,41018485584725.7,42176516066439.1,43823204664493.9
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,1354444605559.25,1258453633593.25,1369357769886.58,1456880573683.68,1272526278004.68,1117411942661.72
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,1346717595990.02,1360367078029.56,1492661491533.09,1618275456730.5,1655731054680.85,1775382350298.79
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,2701162201549.27,2618820711622.81,2862019261419.67,3075156030414.18,2928257332685.53,2892794292960.5
